Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
Law 2099: Energy Transition Law,Colombia,2021,Announced,National,https://www.iea.org/policies/25844-law-2099-energy-transition-law,Power,Government spending in storage;Government spending in low-carbon electricity,,,https://dapre.presidencia.gov.co/normativa/normativa/LEY%202099%20DEL%2010%20DE%20JULIO%20DE%202021.pdf,It modifies the tax incentives applicable to non-conventional renewable energy (NCRE) projects and will also apply to power storage.,IEA
Law 27640 - Biofuels Regulatory Framework,Argentina,2021,In force,National,https://www.iea.org/policies/20495-law-27640-biofuels-regulatory-framework,Transport,Biofuel blending mandate,,,https://www.argentina.gob.ar/normativa/nacional/ley-27640-352587/texto,"The law updates the biofuels regulatory framework in Argentina, setting a blending mandate valid until 2030 of 12% for bioethanol and 7.5% for biodiesel.",IEA
"Law 31.283 by which the exploration, exploitation and industrialisation of lithium and its derivates are determined as public necessity, national interest, and strategic resources for the country",Peru,2021,In force,National,https://www.iea.org/policies/15809-law-31283-by-which-the-exploration-exploitation-and-industrialisation-of-lithium-and-its-derivates-are-determined-as-public-necessity-national-interest-and-strategic-resources-for-the-country,Critical Minerals,Strategic mineral lists,,,http://www.minem.gob.pe/_legislacionM.php?idSector=1&idLegislacion=13427,"In 2021, exercising the power granted by , the Peruvian Congress passed Law 31.283 to declare the exploration, exploitation and industrialisation of lithium and its derivatives in the national territory as public necessity and national interest activities. This declaration aims to guarantee the sustainable development of lithium in the country.In addition, the law establishes that the commercialisation of lithium and its derivatives constitutes a strategic resource for the development of the country.Finally, according to this law, the executive power must issue a regulation covering lithium commercialisation. This regulation shall also ensure the development of the national battery industry and a process for recycling lithium batteries.",IEA
Law 337-VI about Renewable Energy Resources,Turkmenistan,2021,In force,National,https://www.iea.org/policies/25818-law-337-vi-about-renewable-energy-resources,Economy-wide,Master Energy Plan,,,http://www.turkmenlegaldatabase.info/documents.download/id/48924.html,"It provides direction on the path towards renewable energy implementation, including training of specialists, R&D support, RECs, support for construction in cities, towns and rural areas energy efficient settlements buildings.",IEA
Law N. 1964 for EV and net zero vehicles,Colombia,2021,In force,National,https://www.iea.org/policies/13053-law-n-1964-for-ev-and-net-zero-vehicles,,,,,https://dapre.presidencia.gov.co/normativa/normativa/LEY%201964%20DEL%2011%20DE%20JULIO%20DE%202019.pdf,"The purpose of this Law is to generate schemes to promote the use of electric and zero-emission vehicles.Users of electric vehicles will have a tax of 1% of the commercial value of the vehicle. Additionally, a discount on tariffs to apply to the technic-mechanical monitoring of 10%. Mobility restrictions established by the local authorities won't be applicable.Public entities and commercial establishments are obligated to save at least 2% of the parking lot space available for preferential use of electric vehicles.Additionally, a 6-year term was established for the National Government and the public transport service providers to reach a minimum of 30% of electric vehicles in its fleets. The cities with massive public transport should create public policies and actions aiming to ensure a percentage of electric vehicles on its float, and for 2035 the 100% of the purchased vehicles must be electric.In the 3 years that follows the enforcement of the Law, the municipalities of special categories should ensure in their territories at least 5 fast charging stations in functional conditions. The construction of these fast charging stations may be made through the figure of public-private partnerships. In the case of Bogota D.C, there should be at least 20 fast charging stations in the territory.",IEA
"Law No. 14,260/2021 - establishes incentives for the recycling industry",Brazil,2021,In force,National,https://www.iea.org/policies/25035-law-no-142602021-establishes-incentives-for-the-recycling-industry,Critical Minerals,Recycling support,,,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14260.htm#promulgacao,"Federal Law No. 14,260/2021 establishes tax incentives and benefits for projects that stimulate the recycling production chain, with a view to encourage the use of raw materials and inputs made from recyclable and recycled materials (in accordance with Art. 44 of Law No. 12,305 of 2010).In terms of the law, within 5 years of its promulgation, individuals and legal entities taxed based on actual profit would be able to deduct a part of their income tax due to direct support for projects previously approved by the Ministry of the Environment aimed at:The law also authorised the creation of the Investment Funds for Recycling Projects (ProRecicle) for funding resources to the above-stated projects, and established the National Commission for the Promotion of Recycling (CNIR) for the purpose of issuing relevant guidelines.In addition, on July 10, 2024, Federal Decree No. 12,106/2024 was issued to regulate the tax incentives for the recycling production chain established under Federal Law No. 14,260/2021.",IEA
Law implementing EU regulation 2017/821 relative to minerals from conflict-affected and high-risk areas,France,2021,In force,National,https://www.iea.org/policies/15653-law-implementing-eu-regulation-2017821-relative-to-minerals-from-conflict-affected-and-high-risk-areas,Critical Minerals,Due diligence obligations,,,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000044176983,"This law implements EU Regulation 2017/821, which aims to regulate the imports of gold, tin, tantalum and tungsten (3TG) from conflict or high-risk zones. Tantalum and tungsten are considered critical minerals by the EU and are also deemed priority minerals in the French Mining Code.The EU Regulation is rooted in the . The OECD Guidance covers all mining companies that do business in areas defined as conflict-affected or high-risk areas. Additional detailed recommendations have been issued to companies operating in the tin, tantalum, tungsten and gold industries.The EU Regulation is based on a compliance approach by requiring due diligence efforts from importers. They must be transparent on the supply chain, share information with mandated independent authorities and monitor risks. In France, the Regulation is expected to apply to about 50 firms, mostly small and medium-sized businesses. The French implementing law provides additional provisions regarding enforcement and fines.",IEA
"Law nº 98/2021, of 31st December, Climate Framework Law",Spain,2021,In force,National,https://www.iea.org/policies/27265-law-no-982021-of-31st-december-climate-framework-law,Fuels,Permitting regimes,,,https://files.dre.pt/1s/2021/12/25300/0000500032.pdf,"Through article 45 of this law, the granting of new concessions for exploration and exploitation of fossil fuels is prohibited throughout the national territory of Portugal.",IEA
Law of Republic of Uzbekistan of 15.03.2021 №ZRU-678 „About environmental audit”,Uzbekistan,2021,In force,National,https://www.iea.org/policies/15256-law-of-republic-of-uzbekistan-of-15032021-zru-678-about-environmental-audit,Methane abatement,Environmental impact assessment,,,https://lex.uz/ru/docs/5331135,The law regulates relations in the field of environmental audit. The main objectives of this legislation are the assessment of the impact of the activities of the subject of environmental audit on the state of the environment; assessment of the effectiveness of environmental measures implemented by the subject of environmental audit.Environmental audit does not replace environmental control. Environmental audit can be carried out in relation to all activities of the subject of environmental audit in the field of environmental protection and rational use of natural resources (Art. 7). Environmental audit can be carried out in a voluntary or mandatory form (Art. 8).The register of environmental audit organizations includes a list of environmental audit organizations and is posted on the official website of the State Committee for Ecology. The register of environmental auditors includes a list of environmental auditors with a qualification environmental auditor certificate and is posted on the official website of the State Committee for Ecology (Art. 19).,IEA
Law on Climate and Resilience - Right to veto wind turbines,France,2021,Ended,National,https://www.iea.org/policies/13914-law-on-climate-and-resilience-right-to-veto-wind-turbines,,,,,https://www.euractiv.com/section/energy/news/french-senators-give-mayors-right-to-veto-wind-turbine-projects/?utm_source=piano&utm_medium=email&utm_campaign=10585&pnespid=1fcxoqZfFAaNnwQH5oZOVQUXczov1uhivLfpEyv1.g,"An amendment was adopted by the Senate on June 18, 2021, giving the right for municipalities and their mayor to veto wind turbine projects. This amendment is part of the Climate and Resilience Law.The amendment was rejected by the National Assembly in December the same year, and is not part of the final version of the law.",IEA
Law on Use of Renewable Energy Resources in Electricity Production,Azerbaijan,2021,In force,National,https://www.iea.org/policies/14550-law-on-use-of-renewable-energy-resources-in-electricity-production,,,,,http://www.e-qanun.az/framework/47842,"This law determines juridical, economic and organizational basis as well as promotion mechanisms of usage of renewable energy resources in electricity production.",IEA
Law on energy efficiency and rational use of energy,Serbia,2021,Announced,National,https://www.iea.org/policies/25812-law-on-energy-efficiency-and-rational-use-of-energy,Buildings,Building energy codes for new buildings,,,http://demo.paragraf.rs/demo/combined/Old/t/t2021_04/SG_040_2021_004.htm,"The law on energy efficiency and rational use of energy sets obligations for:- Buildings or special parts of publicly owned buildings with a usable area of more than 250 m² to have a certificate of energy performance of the building- Providing standards for A/C- New and reconstructed energy facilities to meet the minimum requirements in terms of energy efficiency depending on the type and/or power, i.e. the size of the facility (minimum degree of utility, etc.)- Provides for financing, incentives (feed-in tariffs, market premium) for energy efficiency use",IEA
Law project for the Promotion of Sustainable Mobility,Argentina,2021,Announced,National,https://www.iea.org/policies/14633-law-project-for-the-promotion-of-sustainable-mobility,Transport,ICE sales ban,,,https://www.argentina.gob.ar/sites/default/files/2021/10/movilidad_sustentable.pdf,"The Argentinian government put forward in October 2021 a law project to boost domestic production of electric vehicles.The law project foresees:- the creation of a 20 year- support scheme for electromobility, both for consumers and manufacturers- a ban on the sale of new ICE vehicles from 2041- procurement of large electric vehicle fleets, both for the Argentinian administration and for public transports-the establishment of a National Agency for Sustainable MobilityIts implementation is expected to generate around 21,000 new jobs by 2030, around USD 8,300 investments and should bring CO2e10,7 million tons in emission savings.",IEA
Law to share the benefit of CO2 costs among all consumers and reduce electricity bills,Spain,2021,Announced,National,https://www.iea.org/policies/13752-law-to-share-the-benefit-of-co2-costs-among-all-consumers-and-reduce-electricity-bills,,,,,https://www.miteco.gob.es/es/prensa/ultimas-noticias/el-consejo-de-ministros-aprueba-el-proyecto-de-ley-por-el-que-se-act%C3%BAa-sobre-la-retribuci%C3%B3n-del-co2-no-emitido-del-mercado-el%C3%A9ctrico-/tcm:30-530020,"The Spanish Council of Ministers approved a law acting on the remuneration of CO2 not issued from the electricity market, which will lower the electricity bill of consumers by covering system costs with the extraordinary income obtained by generation plants that do not emit CO2 and predate the birth of the European carbon market.The future rule, which is processed by way of urgency to reduce the bill of consumers as soon as possible, adds to the measures already adopted by the Government to face the high prices of electricity, such as the reduction of VAT from 21% to 10% or the suspension of the tax to 7% of generation, that cause a cut in the final receipt of households of more than 12%.",IEA
Lithuania Updated NECP,Lithuania,2021,In force,National,https://www.iea.org/policies/26363-lithuania-updated-necp,Economy-wide,Master Energy Plan,,,https://commission.europa.eu/publications/lithuania-draft-updated-necp-2021-2030_en,"The NECP include Lithuania’s national targets to which Lithuania will contribute to the achievement of the agreed overall EU 2030 energy and climate change targets. This notably includes a renewable energy target of at least 55% by 2030, and a reduction to 4.2 Mtoe in final energy consumption in 2030.",IEA
Loan to the electric vehicle battery factory Lion Electric,Canada,2021,In force,National,https://www.iea.org/policies/13336-loan-to-the-electric-vehicle-battery-factory-lion-electric,,,,,https://www.cbc.ca/news/canada/montreal/trudeau-legault-electric-vehicle-announcement-1.5949998,"The federal and Quebec governments announced a CAD 100 million loan to the Montreal-area company Lion Electric for the construction of an electric vehicle battery factory in Saint-Jérome.The government underlined the importance of such investments to retain employment, and develop professional skills within critical sectors favourable to the development of a healthy economy. Roughly $30 million will be forgivable if the company meets certain conditions, including keeping jobs in Quebec.",IEA
Loans for energy efficiency of multi-apartment buildings,Latvia,2021,In force,National,https://www.iea.org/policies/17211-loans-for-energy-efficiency-of-multi-apartment-buildings,Buildings,Government spending for energy-efficient buildings,,,https://tapportals.mk.gov.lv/structuralizer/data/nodes/229e31cd-7ff7-4735-a252-d2c5cf67502d/preview,"Since 2021, the Latvian development finance institution Altum has been providing state loans for energy efficiency renovations of apartment buildings. The programme has a maximum allocation of EUR 31 million. Eligible projects can receive up to EUR 400,000 per apartment building and up to EUR 3 million per landlord. The programme lasts until 2025.In January 2023, the Cabinet of Ministers extended the programme to also loans for the development of technical project documentations.",IEA
Low emission zones (LEZ) programme,Spain,2021,Ended,National,https://www.iea.org/policies/14177-low-emission-zones-lez-programme,Transport,Government spending for low-emissions and efficient transport,,,https://www.mitma.gob.es/ministerio/proyectos-singulares/prtr/transporte/balance-cierre-segunda-convocatoria-ayudas-a-municipios-zonas-bajas-emosiones-transformacion-transporte-urbano,"The Spanish Ministry of Transport enacted a EUR 1.5 billion recovery funding programme for national Low Emission Zones (LEZ). The objective of this initiative is to decarbonize cities and improve air quality, through the deployment of low-emission, electric or hydrogen public transport modes, and the extension of pedestrian and cycling infrastructures. The investment will be allocated to municipalities with more than 50,000 inhabitants and provincial capitals, as well as municipalities of between 20,000 and 50,000 inhabitants.The government budget was allocated to subnational authorities through two calls for projects in 2021 and 2022.",IEA
Low emissions international technology partnerships and initiatives,Australia,2021,In force,International,https://www.iea.org/policies/13359-low-emissions-international-technology-partnerships-and-initiatives,Power;Technology R&D and innovation,Government spending in low-carbon electricity;Grants,,,https://www.minister.industry.gov.au/ministers/taylor/media-releases/cutting-emissions-and-creating-jobs-international-partnerships,"Australia comits to spend $565.8 million in the 2021-22 Budget to support research and development and demonstration projects for low emissions international technology partnerships and initiatives. Co-funding research and development projects will enable Australia to make low emissions technologies more affordable and help the country develop its industry, while boosting job creation (up to 2 500 new jobs expected). The partnerships are expected to leverage $3 to $5 of co-investment for every dollar invested.",IEA
Lowering electricity tax level of class II,Finland,2021,In force,National,https://www.iea.org/policies/21053-lowering-electricity-tax-level-of-class-ii,Economy-wide,Master Energy Plan,,,,,IEA
Luxembourg National Energy and Climate Plan,Luxembourg,2021,In force,National,https://www.iea.org/policies/8646-luxembourg-national-energy-and-climate-plan,Economy-wide;Industry,Strategic plans;Master Energy Plan,,,https://gouvernement.lu/en/dossiers/2023/2023-pnec.html,"The National Energy and Climate Plan sets a 50 to 55% GHG emissions reduction target by 2030 compared to 2005 levels. For renewable energy, the new directive provides an increase in the target to around 23% by 2030.For energy efficiency, EU effort sharing and the EU target for energy efficiency result in a target corridor of 40 to 44 %.",IEA
Luxembourg- Energy Performance Certificate,Luxembourg,2021,In force,National,https://www.iea.org/policies/8304-luxembourg-energy-performance-certificate,Buildings,Building energy codes for new buildings,,,https://legilux.public.lu/eli/etat/leg/rgd/2021/06/09/a439/jo#chapter_3,"In order to promote the improvement of the energy performance of buildings, this Regulation lays down:",IEA
MEMR Regulation No. 17 of 2021 on the Implementation of Flare Management in Oil and Gas Activities,Indonesia,2021,In force,National,https://www.iea.org/policies/25647-memr-regulation-no-17-of-2021-on-the-implementation-of-flare-management-in-oil-and-gas-activities,Methane abatement,Flaring or venting standards;Emissions estimates and quantification;Flaring or venting restrictions,,,https://jdih.esdm.go.id/dokumen/download?id=Permen+ESDM+No.+17+Tahun+2021.pdf,"In 2021, the Ministry of Energy and Mineral Resources (""MEMR"") issued (“Flaring Regulation”), which prescribes certain requirements with respect to flaring during oil and gas operations. Under the Regulation, oil and gas operators are required to develop a flare management plan (Article 2). A report must be submitted to the MEMR every six months regarding the implementation of the plan (Article 17). The Regulation also requires oil and gas operators to prioritize the utilization of gas that would otherwise be flared (Article 3).The Flaring Regulation also imposes restrictions with respect to routine flaring. Under the Regulation, operators that process oil and gas are prohibited from engaging in routine gas flaring (Article 5). Processors must design new refineries in such a way that they do not rely on routine gas flaring (Article 5).In contrast to processors, upstream operators are not outright prohibited from engaging in routine flaring. However, they must abide by the following limits when engaging in routine flaring:Despite the above limitations on routine gas flaring, the Flaring Regulation allows oil and gas operators to flare gas in various non-routine situations. In particular, the Flaring Regulation allows oil and gas operators (both downstream and upstream) to engage in flaring for safety or emergency reasons. The Regulation also allows oil and gas operators to flare gas during the following periods: exploration and appraisal; drilling, testing and well maintenance activities; depressurizing; startup and shutdown; commissioning and decommissioning; and malfunction incidents (Article 7). However, even when an operator engages in flaring for these reasons, the operator must still make efforts to stop the flaring (Article 9). The operator must report its efforts to stop the flaring to the MEMR, together with a plan to prevent the recurrence of gas flaring (Article 9).In addition, the Regulation allows upstream operators to flare gas if the operator is experiencing “commercialization constraints” (Article 10). However, before the operator can flare the gas due to commercialization constraints, the following conditions must be met: (1) the operator must provide an explanation to SKK Migas regarding obstacles for commercializing the gas; (2) SKK Migas must review the operator’s explanation and make a recommendation to the MEMR; and (3) the MEMR must approve the flaring (Article 10).The Regulation also requires oil and gas operators to quantify the volume of flared gas through measuring instruments, mass balance calculations or other engineering calculations that follow good technical rules (Article 11). However, for operators that engage in routine gas flaring, the volume of flared gas must be measured through a measuring instrument (Article 12). In addition, oil and gas operators are required to inform the MEMR of any gas flaring event that meets the following criteria: (1) the event lasts more than one day; and (2) the volume of flared gas exceeds twenty million standard cubic feet per day (MMSCFD). The operator must inform the MEMR within one day and must provide a written report to the MEMR within seven working days (Article 6).",IEA
"MEMR Regulation No. 30 of 2021 on Procedures for Determining the Allocation, Utilization and Pricing of Flare Gas",Indonesia,2021,In force,National,https://www.iea.org/policies/25651-memr-regulation-no-30-of-2021-on-procedures-for-determining-the-allocation-utilization-and-pricing-of-flare-gas,Methane abatement,"Loans, grants and other financial incentives;Flaring or venting standards",,,https://jdih.esdm.go.id/dokumen/download?id=Permen+ESDM+No.+30+Tahun+2021.pdf,"In 2021, the Ministry of Energy and Mineral Resources (“MEMR”) issued , which establishes certain standards for the pricing and utilization of gas that would otherwise be flared (hereinafter “flare gas”). The Regulation stipulates that flare gas can be bought by business entities that hold a processing licence or a trading licence (Article 2). The Regulation further specifies that flare gas can be utilized for various purposes, including electricity supply, industrial or household use through pipelines, compressed natural gas, liquefied petroleum gas, dimethyl ether, and other purposes according to the gas’ composition (Article 3).Under the Regulation, an oil and gas operator that has signed a production sharing contract with the Special Task Force for Upstream Oil and Gas Activities (“SKK Migas”) can submit an application to SKK Migas to receive authorization to sell gas that would otherwise be flared (Article 3). The application must contain information regarding the proposal to sell the gas, including the source of the gas, the estimated amount of gas that will be delivered, and the proposed price. SKK Migas then transfers the application to the MEMR with its recommendations. Based on these recommendations, the MEMR approves or denies the application (Article 4). If the MEMR approves the application, the oil and gas operator must proceed to signing a flare gas purchase agreement with the flare gas buyer (Article 5). The flare gas buyer (e.g., a processor) is required to utilize the gas within a period of 3 months following approval of the application.",IEA
MEPS and Labelling for Air Conditioners (MEMR Decision No. 103/2021),Indonesia,2021,In force,National,https://www.iea.org/policies/14708-meps-and-labelling-for-air-conditioners-memr-decision-no-1032021,,,,,https://simebtke.esdm.go.id/sinergi/assets/content/20210924123008_103KEK07DJE2021_STANDAR_KINERJA_MINIMUM_DAN_LABEL_TANDA_HEMAT_ENERGI_UNTUK_PERALATAN_PEMANFAATAN_ENERGI_PENGONDISI_UDARA.pdf,,IEA
MEPS and Labelling for Fans (MEMR Decision No. 114/2021),Indonesia,2021,In force,National,https://www.iea.org/policies/14710-meps-and-labelling-for-fans-memr-decision-no-1142021,,,,,https://simebtke.esdm.go.id/sinergi/assets/content/20210924124237_114KEK07DJE2021_SKEM_DAN_LABEL_TANDA_HEMAT_ENERGI_UNTUK_PERALATAN_KIPAS_ANGIN.pdf,,IEA
MEPS and Labelling for Refrigerators (MEMR Decision No. 113/2021),Indonesia,2021,In force,National,https://www.iea.org/policies/14709-meps-and-labelling-for-refrigerators-memr-decision-no-1132021,,,,,https://simebtke.esdm.go.id/sinergi/assets/content/20210924124138_113KEK07DJE2021_SKEM_DAN_LABEL_TANDA_HEMAT_ENERGI_UNTUK_PERALATAN_LEMARI_PENDINGIN.PDF,,IEA
MEPS and Labelling for Rice Cookers (MEMR Decision No. 115/2021),Indonesia,2021,In force,National,https://www.iea.org/policies/14711-meps-and-labelling-for-rice-cookers-memr-decision-no-1152021,,,,,https://simebtke.esdm.go.id/sinergi/assets/content/20210924124347_115KEK07DJE2021_SKEM_DAN_LABEL_TANDA_HEMAT_ENERGI_UNTUK_PERALATAN_PENANAK_NASI.PDF,,IEA
MEPS for Air conditioners,Rwanda,2021,In force,National,https://www.iea.org/policies/7998-meps-for-air-conditioners,,,,,https://environment.gov.rw/fileadmin/Environment_Subsector/Laws__Policies_and_Programmes/Rwanda_National_Cooling_Strategy.pdf,Minimum energy performance standards for ductless split air conditioners and self-contained air conditioners were adopted in 2019 and will enter into force in 2021. The standards are set as follow:Capacity Compressor TypeFixed VariableRated Cooling Capacity 4.5 kW 3.80 4.604.5 kW < Rated Cooling Capacity 9.5 kW 3.50 4.309.5 kW < Rated Cooling Capacity 16.0kW 3.20 3.90Rated Cooling Capacity 16.0 kW 3.50 4.00This standard also contains labeling requirements and refrigerants requirements.,IEA
MEPS for Refrigerators,Rwanda,2021,In force,National,https://www.iea.org/policies/7999-meps-for-refrigerators,,,,,https://environment.gov.rw/fileadmin/Environment_Subsector/Laws__Policies_and_Programmes/Rwanda_National_Cooling_Strategy.pdf,Maximum Annual Energy ConsumptionReference Ambient Temperature Product Category AECMax(kWh/year)25°C Refrigerators 0.183 × AV+12025°C Refrigerator-Freezers 0.268 × AV+19025°C Freezers 0.238 × AV+193The policy includes labelling requirements,IEA
Malta National Energy and Climate Plan,Malta,2021,In force,National,https://www.iea.org/policies/26234-malta-national-energy-and-climate-plan,Economy-wide,Master Energy Plan,,,https://energy.ec.europa.eu/system/files/2020-01/mt_final_necp_main_en_0.pdf,"It outlines the country's national objectives and contributions to the European Union's energy and climate targets across five dimensions: decarbonisation, energy efficiency, energy security, internal energy market, and research, innovation and competitiveness.",IEA
Mandate for investigation into the sustainable extraction and recycling of metals and minerals from secondary resources,Sweden,2021,Ended,National,https://www.iea.org/policies/17627-mandate-for-investigation-into-the-sustainable-extraction-and-recycling-of-metals-and-minerals-from-secondary-resources,Critical Minerals,Geological surveys;Recycling support;Strategic plans,,,https://www.sgu.se/globalassets/om-sgu/verksamhet/regeringsuppdrag/regeringsuppdrag-sekundara-resurser.pdf,"In 2021, the government mandated the Geological Survey of Sweden (SGU) to work with the Swedish Environmental Protection Agency (Naturvatdsverket) to investigate and increase the possibilities of viable extraction of minerals and metals from secondary resources.The mandate stipulated the following tasks:Upon completion of the assignment in 2023, the SGU and Naturvatdsverket proposed the following assignments to continue to develop this work:",IEA
Maori & Public Housing Renewable Energy Fund,New Zealand,2021,Ended,National,https://www.iea.org/policies/13646-maori-public-housing-renewable-energy-fund,Power,Government spending in low-carbon electricity,,,https://www.beehive.govt.nz/sites/default/files/2021-05/PR%20attachment%20-%20Maori%20housing%20renewable%20energy%20fund%20-%20Round%201.pdf,"The Maori & Public Housing Renewable Energy Fund is an initiative aimed at funding renewable energy technology adoption in Maori and public housing. The initiative also combines energy affordability and efficiency priorities.A total of NZD 28 million was dedicated to the fund; a further NZD 2 million was dedicated from the Community Renewable Energy Fund to boost the final rounding of fundings.In total, 50 projects covering more than 2,000 homes were covered by the fund--including 11 public housing centers administered by Kalinga Ora, the New Zealand Public Housing Agency. Kalinga Ora estimated that targeted households will save up to NZD 1,000 annually on power bills.",IEA
Measures to deal with increases in electricity prices,Cyprus,2021,Ended,National,https://www.iea.org/policies/16378-measures-to-deal-with-increases-in-electricity-prices,Just transitions,Government spending for energy affordability,,,https://mof.gov.cy/en/press-office/announcements/1218/?ctype=ar,"The measures to help cushion high electricity prices include: support for vulnerable groups of the population with lump sums for households with children based on income criteria (€5 million), support for livestock farming for energy costs (€26 million), support for pensioners and low-pensioners (a total of approximately €40.5 million), support for residents of mountainous areas (€9.6 million).",IEA
Memorandum of cooperation (MoC) on hydrogen between Japan and UAE,Japan,2021,In force,International,https://www.iea.org/policies/13316-memorandum-of-cooperation-moc-on-hydrogen-between-japan-and-uae,,,,,https://www.meti.go.jp/english/press/2021/0409_001.html,"Japan and United Arab Emirates signed a memorandum of cooperation (MoC) on hydrogen to exchange hydrogen policy and standard development, and to build an international supply chain including production and transportation to Japan. The memorandum also expands to the fields of energy and infrastructure between the two countries in accordance with the Paris Agreement by transitioning to clean energy. Consider exchanging information and dispatching experts for cooperation in the following fields. • Information exchange on hydrogen policy • Build an international supply chain for hydrogen, including development of hydrogen production technology, hydrogen production and transportation to Japan • Information exchange for regulations, standards and standards to expand supply and demand for hydrogen • Cooperation on hydrogen safety Future cooperation content (including ongoing content) • Holding public-private workshops on hydrogen • Promotion and follow-up of private-sector cooperation for hydrogen supply and utilization ü Survey on hydrogen production from renewable energy and hydrogen utilization in the region ü Survey on fossil fuel-derived hydrogen production, CO2 storage, and hydrogen export to Japan ü Survey on the possibility of hydrogen utilization and hydrogen export in Abu Dhabi",IEA
Mexico - Clean Energies Trust Fund (FIEL),Mexico,2021,In force,National,https://www.iea.org/policies/19783-mexico-clean-energies-trust-fund-fiel,Power,Government spending in low-carbon electricity,,,,,IEA
Mining rights' online public registry (camino.beta.gouv.fr),France,2021,In force,National,https://www.iea.org/policies/18068-mining-rights-online-public-registry-caminobetagouvfr,Critical Minerals,Transparency norms,,,https://camino.beta.gouv.fr/,"Camino, France's digital mining cadastre, streamlines the management and monitoring of mining projects, as mining permits and ongoing permitting requests are made public in camino.beta.gouv.fr. It provides a unified platform that facilitates easy access to mining data, presenting a comprehensive view of mining titles and their characteristics on an up-to-date map and dashboard. As an open digital resource, it acts as a common repository for mining files and associated administrative authorisations, meeting the requirements of mining companies, public agents, and citizens. Mining companies can manage their applications and obligations online, public agents have the capability to co-instruct requests and oversee projects, and NGOs, citizens, and elected officials are granted access to public documents and data, promoting transparency and community participation in mining projects.",IEA
Ministerial regulations 2563 on buildings energy conservation,Thailand,2021,In force,National,https://www.iea.org/policies/19594-ministerial-regulations-2563-on-buildings-energy-conservation,Buildings,Building energy codes for new buildings,,,https://bec.dede.go.th/%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%81%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%94-%E0%B8%81%E0%B8%8E%E0%B8%AB%E0%B8%A1%E0%B8%B2%E0%B8%A2/,"Regulations 2563 updates energy conservation requirements for new or retrofitted buildings. It also sets standards for building envelopes, lighting, air conditionning and other technologies/appliances.",IEA
MoC on hydrogen between UAE and Japan,United Arab Emirates,2021,In force,International,https://www.iea.org/policies/13377-moc-on-hydrogen-between-uae-and-japan,,,,,https://www.reuters.com/article/japan-hydrogen-emirates-int-idUSKBN2BV1CC,"Japan and United Arab Emirates signed a memorandum of cooperation (MoC) on hydrogen to exchange hydrogen policy and standard development, and to build an international supply chain including production and transportation to Japan. The memorandum also expands to the fields of energy and infrastructure between the two countries in accordance with the Paris Agreement by transitioning to clean energy. Information below came from the government of Japan: Consider exchanging information and dispatching experts for cooperation in the following fields. • Information exchange on hydrogen policy • Build an international supply chain for hydrogen, including development of hydrogen production technology, hydrogen production and transportation to Japan • Information exchange for regulations, standards and standards to expand supply and demand for hydrogen • Cooperation on hydrogen safety Future cooperation content (including ongoing content) • Holding public-private workshops on hydrogen • Promotion and follow-up of private-sector cooperation for hydrogen supply and utilization ü Survey on hydrogen production from renewable energy and hydrogen utilization in the region ü Survey on fossil fuel-derived hydrogen production, CO2 storage, and hydrogen export to Japan ü Survey on the possibility of hydrogen utilization and hydrogen export in Abu Dhabi",IEA
MoHa Regulation 1/2021 - Basic Calculation of the Imposition of Motor Vehicle Tax and Transfer Fee of Motor Vehicles,Indonesia,2021,In force,National,https://www.iea.org/policies/16915-moha-regulation-12021-basic-calculation-of-the-imposition-of-motor-vehicle-tax-and-transfer-fee-of-motor-vehicles,,,,,http://peraturan.bpk.go.id/Home/Details/163288/permendagri-no-1-tahun-2021,Regulation 1/2021 sets the calculation and cap for EV tax and transfer fee.The Battery-Based Motor Vehicle Tax (PKB) rate for both public and private transportation is set at a maximum of 10% of the basis for the imposition of the Motor Vehicle Tax.,IEA
Modern Manufacturing Initiative - Recycling and Clean Energy projects funding,Australia,2021,In force,National,https://www.iea.org/policies/13330-modern-manufacturing-initiative-recycling-and-clean-energy-projects-funding,Critical Minerals,Innovation funds;Recycling support;Financing,,,https://business.gov.au/-/media/grants-and-programs/mmi-integration/mmi-integration-stream-recycling-and-clean-energy-priority-grant-opportunity-guidelines-pdf.ashx?sc_lang=en&hash=3C2D4546AE09E7A6BE01DFD0A0970629,"The Australian Government has committed over AUD79 million of grants, with a further AUD124 million currently being negotiated, to resources technology and critical minerals projects through the Modern Manufacturing Initiative (MMI). The MMI will help manufacturers to scale-up production, commercialise products and operations, and integrate into domestic and global supply chains. Investment in the sector will be guided by the Recycling and Clean Energy National Manufacturing Priority road map released in tandem with the opening of funding. Funding will be provided on a dollar-for-dollar co-investment basis, with grants ranging from AUD 1 million to AUD 20 million. On July 26, 2021, the Australian Government announced its supports to eight companies in the resources technology and critical minerals sectors with over $50 million in matched funding from the Modern Manufacturing Initiative.",IEA
