Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
"EPA and Army Corps of Engineers Revise Definition of ""Waters of the United States""",2023,USA,"<p>EPA and Army Corps of Engineers issued a final rulemaking interpreting the definition of ""waters of the United States"" under the Clean Water Act. This rulemaking restores Clean Water Act protections that were stripped under a Trump administration rulemaking, the Navigable Waters Protection Rule.</p>",https://climate.law.columbia.edu/content/epa-and-army-corps-engineers-revise-definition-waters-united-states,National,Final rule,"EPA,DOD,Army Corps of Engineers",Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Distribution Transformers,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has proposed amended energy conservation standards for distribution transformers, transformers that provide the final stage of voltage transformation from distribution lines to the voltage level used by customers.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-distribution-transformers,National,"Notice of Proposed Rulemaking,Notice of Opportunity for Public Hearing and Comment",DOE,Climate-Reregulation-Tracker
DOE proposes Energy Conservation Standards for General Service Lamps,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has proposed amended energy conservation standards for general service lamps.</p>",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-general-service-lamps,National,"Notice of Opportunity for Public Hearing and Comment,Notice of Proposed Rulemaking",DOE,Climate-Reregulation-Tracker
Council on Environmental Quality Issues Interim Guidance on Agency Consideration of GHG Emissions and Climate Change,2023,USA,<p>The Council on Environmental Quality (CEQ) has issued interim guidance to assist agencies in analyzing greenhouse gas and climate change effects of their proposed actions under the National Environmental Policy Act. CEQ is issuing this guidance as interim guidance so that agencies may make use of it immediately while CEQ seeks public comment on the guidance. CEQ intends to either revise the guidance in response to public comments or finalize the interim guidance.</p>,https://climate.law.columbia.edu/content/council-environmental-quality-issues-interim-guidance-agency-consideration-ghg-emissions,National,"Notice of Interim Guidance,Requests for Comments",CEQ,Climate-Reregulation-Tracker
Federal Trade Commission Seeks Comments on Environmental Marketing Guidelines,2022,USA,"<p>In keeping with its decennial regulatory review schedule, the Federal Trade Commission is seeking public comment on its Guides for the Use of Environmental Marketing Claims. The Commission is soliciting comments about the efficiency, costs, benefits, and regulatory impact of the Guides to determine whether to retain, modify, or rescind them.</p>",https://climate.law.columbia.edu/content/federal-trade-commission-seeks-comments-environmental-marketing-guidelines,National,Request for Public Comment,FTC,Climate-Reregulation-Tracker
Department of Energy Proposes Energy Conservation Standards for Circulator Pumps,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has proposed amended energy conservation standards for circulator pumps.</p>",https://climate.law.columbia.edu/content/department-energy-proposes-energy-conservation-standards-circulator-pumps,National,"Notice of Opportunity for Public Hearing and Comment,Notice of Proposed Rulemaking",DOE,Climate-Reregulation-Tracker
Board of Governors of the Federal Reserve Seek Comment on Principles for Climate-Related Financial Risk Management for Large Financial Institutions,2022,USA,<p>The Board of Governors of the Federal Reserve System requests public comment on draft principles that would provide a high-level framework for managing exposure to climate-related financial risks for Board-supervised financial institutions with over $100 billion in assets.</p>,https://climate.law.columbia.edu/content/board-governors-federal-reserve-seek-comment-principles-climate-related-financial-risk,National,"Notice,Request for Public Comment",Board of Governors of the Federal Reserve,Climate-Reregulation-Tracker
EPA Publishes Draft Update to U.S. GHG Emissions and Sinks Report,2023,USA,"<p>A draft of EPA's annual emissions report,<em>&nbsp;Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2021</em>, is now available for public review. EPA seeks comments and recommendations for improving the overall quality of the inventory report.</p>",https://climate.law.columbia.edu/content/epa-publishes-draft-update-us-ghg-emissions-and-sinks-report,National,Requests for Comments,EPA,Climate-Reregulation-Tracker
Bureau of Indian Affairs Proposes Rule Expanding BIA's Ability to Make Tribal Land Acquisitions Related to Climate Change,2022,USA,"<p>BIA has proposed changes to the regulations governing the discretionary acquisition of land into trust for the benefit of tribal governments and individual Indians.&nbsp;Among other changes, BIA has proposed language emphasizing ""the policy goal of establishing a tribal land base and providing for climate change-related acquisitions.""</p>",https://climate.law.columbia.edu/content/bureau-indian-affairs-proposes-rule-expanding-bias-ability-make-tribal-land-acquisitions,National,Proposed Rule,Interior,Climate-Reregulation-Tracker
EPA Publishes Revised Proposed Standards for GHG Emissions from Crude Oil and Natural Gas Sources,2022,USA,"<p>EPA has issued a supplemental notice of proposed rulemaking that revises and strengthens a proposed rule issued in November 2021. The rule is intended to&nbsp;mitigate climate-destabilizing pollution and protect human health by reducing GHG and VOC emissions from the Oil and Natural Gas industry. The supplemental notice strengthens the standards proposed in the November 2021 rule, as well as making a number of technical changes.</p>",https://climate.law.columbia.edu/content/epa-publishes-revised-proposed-standards-ghg-emissions-crude-oil-and-natural-gas-sources,National,"Supplemental Notice of Proposed Rulemaking,Notice of Proposed Rulemaking",EPA,Climate-Reregulation-Tracker
DOE Declines to Strengthen Energy Conservation Standards for Air Conditioners and Heat Pumps,2023,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has finalized its review of energy conservation standards for Packaged Terminal Air Conditioners and Packaged Terminal Heat Pumps, and determined that energy conservation standards for these products do not need to be amended.</p>",https://climate.law.columbia.edu/content/doe-declines-strengthen-energy-conservation-standards-air-conditioners-and-heat-pumps,National,Final rule,DOE,Climate-Reregulation-Tracker
Department of Energy Proposes No Increases to Energy Efficiency Standards for Single Package Vertical Units,2022,USA,"<p>As part of statutorily mandated update to energy efficiency regulations, the U.S. Department of Energy (DOE) has conducted an evaluation of its energy conservation standards for&nbsp;single package vertical air conditioners (SPVACs) and single package vertical heat pumps (SPVHPs), collectively referred to as single package vertical units (SPVUs). While DOE proposes a new metric to measure cooling efficiency, DOE does not propose increasing the stringency of SPVU energy standards.</p><p>DOE is accepting written comments, data, and information on these proposed standards until February 6, 2023, and will hold a public meeting via webinar on Monday, January 29, 2023.</p>",https://climate.law.columbia.edu/content/department-energy-proposes-no-increases-energy-efficiency-standards-single-package-vertical,National,"Proposed Rule,Notice of Proposed Determination,Notice of Opportunity for Public Hearing and Comment",DOE,Climate-Reregulation-Tracker
EPA Proposes Restrictions on the Use of Certain Hydrofluorocarbons in Specific Sectors and Subsectors,2022,USA,"<p>As part of implementing the American Innovation and Manufacturing Act of 2020, the U.S. Environmental Protection Agency (EPA) proposed regulations to, among other things, restrict the use of hydrofluorocarbons in specific sectors or subsectors in which they are used, establish a process for submitting technology transitions petitions, and establish recordkeeping and reporting requirements.</p><p>&nbsp;</p>",https://climate.law.columbia.edu/content/epa-proposes-restrictions-use-certain-hydrofluorocarbons-specific-sectors-and-subsectors,National,Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
National Credit Union Administration Requests Information on Climate-Related Financial Risks,2023,USA,"<p>The National Credit Union Administration seeks&nbsp;public input on current and future climate and natural disaster risks to federally insured credit unions and their members, along with suggested regulatory steps that the NCUA can take to mitigate climate-related financial risks.</p>",https://climate.law.columbia.edu/content/national-credit-union-administration-requests-information-climate-related-financial-risks,National,Request for Information,NCUA,Climate-Reregulation-Tracker
"BLM Proposes New Regulations to Enshrine Conservation as an approved ""Use"" of BLM-Managed Lands",2023,USA,"<p>BLM has published a proposed rule that would apply land health standards to all BLM-managed public lands and uses, clarify that conservation is a “use” within FLPMA's multiple-use framework, and revise existing regulations to better meet FLPMA's requirement that the BLM prioritize designating and protecting Areas of Critical Environmental Concern.</p>",https://climate.law.columbia.edu/content/blm-proposes-new-regulations-enshrine-conservation-approved-use-blm-managed-lands,National,Proposed Rule,BLM,Climate-Reregulation-Tracker
FEMA Seeks Input on Incorporating Climate Change into Risk Assessments,2023,USA,<p>FEMA seeks input from the public on the integration of climate change risk into FEMA's risk assessments under the Community Disaster Resilience Zones Act of 2022.</p>,https://climate.law.columbia.edu/content/fema-seeks-input-incorporating-climate-change-risk-assessments,National,Request for Information,"DHS,FEMA",Climate-Reregulation-Tracker
DOE Issues Interim Amendment to Loan Regulations to Implement 290 Billion of Clean Energy Loans by 2026,2023,USA,<p>The Department of Energy has issued an interim final rule to allow it to deploy up to $290 billion of loan authority granted to DOE under the Inflation Reduction Act of 2022.</p>,https://climate.law.columbia.edu/content/doe-issues-interim-amendment-loan-regulations-implement-290-billion-clean-energy-loans-2026,National,"Interim Rule,Requests for Comments",DOE,Climate-Reregulation-Tracker
GSA Proposes New Climate Considerations for Federal Facilities,2023,USA,"<p>The General Services Administration has proposed amendments&nbsp;to the Federal Management Regulation to outline factors that agencies should consider when planning for the siting of federal facilities. Among other changes, the proposed rule would require agencies to consider both the emissions impact of government installations and the climate adaptation needs of government facilities.</p>",https://climate.law.columbia.edu/content/gsa-proposes-new-climate-considerations-federal-facilities-0,National,Proposed Rule,GSA,Climate-Reregulation-Tracker
Banking Regulators Issue Guidance for Climate-Related Financial Risk Management,2023,USA,"<p>The Office of the Comptroller of the Currency, the Federal Deposit Insurance Corporation, and the Board of Governors of the Federal Reserve have jointly issued guidance designed to provide a high-level framework for the safe and sound management of exposures to climate-related financial risks. This guidance is intended to support efforts by large financial institutions to focus on key aspects of climate-related financial risk management, and is targeted at financial institutions with over $100 billion in total consolidated assets.</p>",https://climate.law.columbia.edu/content/banking-regulators-issue-guidance-climate-related-financial-risk-management-0,National,Guidance,"FDIC,OCC,Board of Governors of the Federal Reserve",Climate-Reregulation-Tracker
EPA Seeks Comment on Considerations of Climate Risk in Chemical Safety Regulations,2023,USA,"<p>The Environmental Protection Agency (EPA) has a proposed rule that would amend the procedural framework rule for conducting risk evaluations under the Toxic Substances Control Act (TSCA). The proposed rule would require the impacts of climate change to be considered under some, but not all, circumstances. EPA has specifically requested comment on alternative methods for considering potential climate-related risks in risk evaluations under TSCA.</p>",https://climate.law.columbia.edu/content/epa-seeks-comment-considerations-climate-risk-chemical-safety-regulations,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
EPA Proposes New Regulations to Reduce HFC Leaks,2023,USA,"<p>On October 19, 2023, the Environmental Protection Agency issued a notice of proposed rulemaking for regulations&nbsp;around HFC leak detection, HFC leak repair, recycling of HFCs, and other related topics.&nbsp;EPA estimates that, between the years&nbsp;2025–2050, the proposed rule provisions would prevent an estimated 142 million metric tons of CO<sub>2</sub> equivalent (MMTCO<sub>2</sub> e) in HFC emissions.</p>",https://climate.law.columbia.edu/content/epa-proposes-new-regulations-reduce-hfc-leaks,National,"Advance Notice of Proposed Rulemaking,Notice of Proposed Rulemaking",EPA,Climate-Reregulation-Tracker
EPA Finalizes New Restrictions in Ongoing HFC Phasedown,2023,USA,"<p>The EPA has issued final regulations&nbsp;restricting the use of HFCs with high global warming potentials within the refrigeration, air conditioning, and heat pump, foam, and aerosol sectors, and prohibiting the manufacture, import, or installation of certain equipment across approximately 40 subsectors.&nbsp;EPA projects that this rule will yield incremental emission reductions ranging from 83 to 876&nbsp;million metric tons of carbon dioxide equivalent&nbsp;(MMTCO<sub>2</sub> e) through 2050.</p>",https://climate.law.columbia.edu/content/epa-finalizes-new-restrictions-ongoing-hfc-phasedown,National,Final rule,EPA,Climate-Reregulation-Tracker
Federal Insurance Office Seeks Information on Climate Change Impacts on Homeowners,2023,USA,<p>The Federal Insurance Office (FIO) in the Department of the Treasury has announced its intent to&nbsp;collect granular information about climate-related physical risks from private sector insurers. The goal of this information collection is&nbsp;to understand how climate-related financial risks impact families and individuals across the United States and how these effects could impact the broader financial system.</p>,https://climate.law.columbia.edu/content/federal-insurance-office-seeks-information-climate-change-impacts-homeowners,National,"Notice of Information Collection,Requests for Comments","Federal Insurance Office,Treasury",Climate-Reregulation-Tracker
BOEM Prepares Environmental Impact Statement for Outer Continental Shelf Leasing,2023,USA,<p>The Bureau of Ocean Energy Management (BOEM) has issued a notice of its intent to prepare a programmatic environmental impact statement (PEIS) analyzing the impact of a representative oil and gas lease in the Gulf of Mexico's (GOM) Regional Outer Continental Shelf (OCS).&nbsp;BOEM expects to use this PEIS to inform the decision for the first GOM lease sale proposed in the 2024–2029 National OCS Oil and Gas Leasing Program.</p>,https://climate.law.columbia.edu/content/boem-prepares-environmental-impact-statement-outer-continental-shelf-leasing,National,"Notice,Requests for Comments",BOEM,Climate-Reregulation-Tracker
"DOE Proposes Expanding NEPA Exemption for Solar, Batteries, and Transmission",2023,USA,"<p>The Department of Energy has proposed expansions to categorical exclusions under NEPA for power line repair projects and solar facilities on previously developed land, and proposed a new categorical exclusion for battery storage facilities on previously developed land.&nbsp;</p>",https://climate.law.columbia.edu/content/doe-proposes-expanding-nepa-exemption-solar-batteries-and-transmission,National,Proposed Rule,DOE,Climate-Reregulation-Tracker
Forest Service Proposes Rule to Remove Barrier to CO2 Capture and Storage under Forest Service Lands,2023,USA,"<p>The United States Forest Service&nbsp;has proposed amendments to its special use regulations to permit carbon capture and storage (CCS) on National Forest Service (NFS) lands. These special use regulations prohibit authorizing exclusive and perpetual use and occupancy of National Forest System lands.&nbsp;The proposed rule would not, by itself, authorize CCS on NFS lands, but would modify the ""perpetual use and occupancy"" standard so that the Forest Service may consider CCS projects if they are proposed.</p>",https://climate.law.columbia.edu/content/forest-service-proposes-rule-remove-barrier-co2-capture-and-storage-under-forest-service,National,Proposed Rule,"Forest Service,USDA",Climate-Reregulation-Tracker
Executive Order Expands on Environmental Justice Considerations by Federal Agencies,2023,USA,"<p>Executive Order 14096,&nbsp;<em>Revitalizing Our Nation's Commitment to Environmental Justice for All,&nbsp;</em>significantly broadens the scope of the Clinton Administration's Executive Order 12898, the existing executive order addressing Federal policy on environmental justice, and creates new processes and obligations for Federal agencies to consider environmental justice concerns in agency actions.</p><p>&nbsp;</p>",https://climate.law.columbia.edu/content/executive-order-expands-environmental-justice-considerations-federal-agencies,National,Executive Order,White House,Climate-Reregulation-Tracker
Biden Administration Launches New Environmental Justice Scorecard,2023,USA,"<p>The Biden Administration has launched a new&nbsp;""Environmental Justice Scorecard"" to assess the federal government's progress on advancing environmental justice, to provide transparency for the public, and to increase accountability for federal agencies.</p>",https://climate.law.columbia.edu/content/biden-administration-launches-new-environmental-justice-scorecard,National,Executive Action,White House,Climate-Reregulation-Tracker
Council on Environmental Quality Seeks Feedback on Government Environmental Justice Scorecard,2023,USA,"<p>CEQ is soliciting feedback on Phase One of the Biden Administration's Environmental Justice Scorecard, to inform future versions of the scorecard and&nbsp;&nbsp;<a href=""https://climate.law.columbia.edu/content/biden-administration-launches-new-environmental-justice-scorecard"">Environmental Justice Scorecard</a>. This feedback will inform future versions of the Environmental Justice Scorecard.</p>",https://climate.law.columbia.edu/content/council-environmental-quality-seeks-feedback-government-environmental-justice-scorecard,National,Request for Information,CEQ,Climate-Reregulation-Tracker
EPA Supplements its 2021 Proposal for Methane Emissions Controls,2022,USA,"<p>EPA has released a supplemental notice of proposed rulemaking &nbsp;that updates, strengthens, and expands the methane emissions rulemaking that EPA proposed in 2021.</p>",https://climate.law.columbia.edu/content/epa-supplements-its-2021-proposal-methane-emissions-controls,National,Supplemental Notice of Proposed Rulemaking,EPA,Climate-Reregulation-Tracker
EPA Finalizes Rule to Eliminate Methane Leaks from Oil and Gas Sector,2023,USA,"<p>After a two-year rulemaking process, EPA has released text of a final rule designed to limit methane emissions from oil and natural gas sources. Between 2024 and 2038, this rule is anticipated to reduce methane emissions by&nbsp;approximately 58 million short tons (the equivalent of a 1.5 billion ton reduction in CO2).</p>",https://climate.law.columbia.edu/content/epa-finalizes-rule-eliminate-methane-leaks-oil-and-gas-sector,National,Final rule,EPA,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Dehumidifiers,2023,USA,<p>The Department of Energy has proposed increased&nbsp;energy conservation standards for consumer dehumidifiers&nbsp;under the Energy Policy and Conservation Act.</p>,https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-dehumidifiers,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
"DOE Considers Energy Conservation Standards for Oil, Electric, and Gas Consumer Furnaces",2023,USA,<p>The Department of Energy has issued a notice of proposed determination under the Energy Policy and Conservation Act suggesting that&nbsp;that energy conservation standards for certain consumer furnaces do not need to be amended.</p>,https://climate.law.columbia.edu/content/doe-considers-energy-conservation-standards-oil-electric-and-gas-consumer-furnaces,National,Notice of Proposed Determination,DOE,Climate-Reregulation-Tracker
FWHA Reinstates Obama-Era Highway CO2 Measurements,2023,USA,"<p>The Federal Highway Administration has finalized a rule requiring state and metropolitan transportation planners that serve regions with federal highways to measure and report CO2 emissions from on-highway sources, and to establish declining targets for highway CO2 emissions.&nbsp;</p>",https://climate.law.columbia.edu/content/fwha-reinstates-obama-era-highway-co2-measurements,National,Final rule,FHWA,Climate-Reregulation-Tracker
Bureau of Indian Affairs Finalizes Policy of Climate Change-Related Land Acquisitions,2023,USA,"<p>The Bureau of Indian Affairs (BIA) has finalized revisions to its governing regulations that will permit BIA to acquire lands for the purposes of climate change adaptation and resilience, and to hold those lands in trust for the benefit of Tribal governments and individual Native Americans.</p>",https://climate.law.columbia.edu/content/bureau-indian-affairs-finalizes-policy-climate-change-related-land-acquisitions,National,Final rule,Interior,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Furnaces,2022,USA,<p>The Department of Energy has proposed amended energy conservation standards&nbsp; for non-weatherized gas furnaces and mobile home gas furnaces under the Energy Policy and Conservation Act.</p>,https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-furnaces-0,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
DOE Finalizes Energy Conservation Standards for Consumer Furnaces,2023,USA,<p>The Department of Energy issued a final rule increasing energy conservation standards for non-weatherized gas furnaces and mobile home gas furnaces under the Energy Policy and Conservation Act.</p>,https://climate.law.columbia.edu/content/doe-finalizes-energy-conservation-standards-consumer-furnaces,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Electric Motors,2023,USA,<p>The Department of Energy has proposed&nbsp;amended energy conservation standards&nbsp;for a subset of electric motors.&nbsp;This rulemaking falls under the Energy Policy and Conservation Act</p>,https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-electric-motors,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
EPA Delays Implementation of Some Elements of HFC Phase-Down,2023,USA,"<p>To avoid stranding inventory that has been pre-ordered for new residential construction, EPA has extended the compliance date for phasing down HFC use in the residential and light commercial air-conditioning and heat pump sector&nbsp;from January 1, 2025 to January 1, 2026.</p>",https://climate.law.columbia.edu/content/epa-delays-implementation-some-elements-hfc-phase-down,National,Interim Rule,EPA,Climate-Reregulation-Tracker
CFTC Proposes Guidance for Voluntary Carbon Credit Derivatives,2023,USA,<p>The Commodity Futures Trading Commission has proposed guidance for derivative contract markets that are considering listing&nbsp;voluntary carbon credit derivative contracts for trading.</p>,https://climate.law.columbia.edu/content/cftc-proposes-guidance-voluntary-carbon-credit-derivatives,National,"Proposed Guidance,Request for Public Comment",CFTC,Climate-Reregulation-Tracker
Dept. of Defense Measures Climate Change Preparedness,2024,USA,"<p>The Department of Defense proposes to collect information about support staff awareness of, and readiness for, climate change impacts to their work.&nbsp;</p>",https://climate.law.columbia.edu/content/dept-defense-measures-climate-change-preparedness,National,Notice of Information Collection,DOD,Climate-Reregulation-Tracker
FEMA Proposes Revisions to National Flood Insurance Plan to Increase Climate Resilience,2024,USA,"<p>In recognition of the increased flooding and flood risk caused by climate change, the Federal Emergency Management Agency has proposed modifications to the ""Standard Flood Insurance Policy"" issued under the National Flood Insurance Program.</p>",https://climate.law.columbia.edu/content/fema-proposes-revisions-national-flood-insurance-plan-increase-climate-resilience,National,Notice of Proposed Rulemaking,"DHS,FEMA",Climate-Reregulation-Tracker
HUD Smooths Regulatory Path for Loisiana's Climate Resettlement Pilot,2024,USA,<p>The Department of Housing and Urban Development has granted certain waivers and established alternative requirements for a HUD-administered block grant to support Louisiana's voluntary resettlement of current and former residents of the flood-prone Isle de Jean Charles to a new and more resilient inland community.</p><p>&nbsp;</p>,https://climate.law.columbia.edu/content/hud-smooths-regulatory-path-loisianas-climate-resettlement-pilot,National,Notice,HUD,Climate-Reregulation-Tracker
EPA Publishes 2024 Draft Update to U.S. GHG Emissions and Sinks Report,2024,USA,"<p>A draft of EPA's annual emissions report,<em>&nbsp;Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990-2022</em>, is now available for public review. EPA seeks comments and recommendations for improving the overall quality of the inventory report.</p>",https://climate.law.columbia.edu/content/epa-publishes-2024-draft-update-us-ghg-emissions-and-sinks-report,National,Requests for Comments,EPA,Climate-Reregulation-Tracker
EPA Sets Regulations to Implement Methane Waste Charges,2024,USA,"<p>The Environmental Protection Agency has&nbsp;proposed regulations to implement the Methane Emissions Reduction Program of the Inflation Reduction Act, which imposes an annual charge on methane emissions from oil and gas facilities.&nbsp;</p>",https://climate.law.columbia.edu/content/epa-sets-regulations-implement-methane-waste-charges,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
"FTC Proposes Improvements to Consumer Energy Labeling, But Rejects Climate Labels",2024,USA,"<p>The Federal Trade Commission has proposed expanding&nbsp;the longstanding Energy Labeling Rule to new product categories, but has rejected calls to expand labeling requirements beyond energy efficiency.</p>",https://climate.law.columbia.edu/content/ftc-proposes-improvements-consumer-energy-labeling-rejects-climate-labels,National,Notice of Proposed Rulemaking,FTC,Climate-Reregulation-Tracker
EPA Releases Updated Tool for Estimating GHG Emissions from Waste Management,2023,USA,"<p>EPA seeks public comment on the WARM v.16 model, a tool that estimates the potential GHG emissions, energy savings and economic impacts of waste management practices.</p>",https://climate.law.columbia.edu/content/epa-releases-updated-tool-estimating-ghg-emissions-waste-management,National,Notice of Availability,EPA,Climate-Reregulation-Tracker
PHMSA Advances CO2 Pipeline Safety Regulations,2024,USA,<p>The Pipeline and Hazardous Materials Transportation Safety Administration has submitted a proposed regulation to OMB that would amend PHMSA's safety standards for CO2 pipelines.</p>,https://climate.law.columbia.edu/content/phmsa-advances-co2-pipeline-safety-regulations,National,OMB Review,"PHMSA,DOT",Climate-Reregulation-Tracker
NSF Seeks Input on Maritime CO2 Removal Plan,2024,USA,"<p>The National Science Foundation&nbsp;seeks input to inform guidelines, regulations, and permitting regimes surrounding research into marine carbon dioxide removal.</p>",https://climate.law.columbia.edu/content/nsf-seeks-input-maritime-co2-removal-plan,National,Request for Information,NSF,Climate-Reregulation-Tracker
DOE Adopts Environmentalist-Recommended Energy Efficiency Guidelines for Refrigerators,2024,USA,"<p>The Department of Energy has issued a paired notice of proposed rulemaking and direct final rule that&nbsp;that adopt updated energy conservation standards for refrigerators and freezers.&nbsp;The standard adopted by the direct final rule, and proposed by the NPRM, was recommended to DOE by the Association of Home Appliance Manufacturers and a coalition led by the Appliance Standards Awareness Project, which includes several prominent environmental organizations.</p>",https://climate.law.columbia.edu/content/doe-adopts-environmentalist-recommended-energy-efficiency-guidelines-refrigerators,National,"Direct final rule,Notice of Proposed Rulemaking",DOE,Climate-Reregulation-Tracker
DOE Adopts Energy Efficiency Guidelines for Consumer Cooking Products,2024,USA,"<p>The Department of Energy has issued a paired notice of proposed rulemaking and direct final rule that&nbsp;that adopt updated energy conservation standards for consumer cooking products.&nbsp;The standard adopted by the direct final rule, and proposed by the NPRM, was recommended to DOE by the Association of Home Appliance Manufacturers and a coalition led by the Appliance Standards Awareness Project, which includes several prominent environmental organizations.</p>",https://climate.law.columbia.edu/content/doe-adopts-energy-efficiency-guidelines-consumer-cooking-products,National,"Direct final rule,Notice of Proposed Rulemaking",DOE,Climate-Reregulation-Tracker
SEC Finalizes Climate Change Disclosure Rule,2024,USA,<p>The Securities and Exchange Commission has adopted a final rule that will require public companies to provide certain climate-related information in their registration statements and annual reports.&nbsp;</p>,https://climate.law.columbia.edu/content/sec-finalizes-climate-change-disclosure-rule,National,Final rule,SEC,Climate-Reregulation-Tracker
EPA Requires Chemical Facilities to Consider Climate Risk,2024,USA,"<p>EPA has issued a final rule that will require facilities that store hazardous chemicals to consider, and plan for, the risks to their facilities caused by climate change-driven natural disasters.</p>",https://climate.law.columbia.edu/content/epa-requires-chemical-facilities-consider-climate-risk,National,Final rule,EPA,Climate-Reregulation-Tracker
EPA Finalizes Tighter Restrictions on Cancer-Causing Air Pollutants,2024,USA,"<p>EPA has finalized a set of rules designed to significantly reduce emissions of certain toxic air pollutants from chemical plants, which are expected to ""dramatically reduce the number of people with elevated air toxics-related cancer risks in communities surrounding the plants."" This new rule&nbsp;joins a host of recent EPA actions targeting the safety of chemical facilities in the face of <a href=""https://scholarship.law.columbia.edu/faculty_scholarship/3889/"">a changing set of pollution risks</a>.</p>",https://climate.law.columbia.edu/content/epa-finalizes-tighter-restrictions-cancer-causing-air-pollutants,National,Final rule,EPA,Climate-Reregulation-Tracker
EPA Requires Potential Polluters to Plan for Climate-Driven Disasters,2024,USA,<p>EPA has&nbsp;issued a final rule&nbsp;requiring facilities that may become major sources of water pollution to plan for the impact of climate-driven natural disasters.</p>,https://climate.law.columbia.edu/content/epa-requires-potential-polluters-plan-climate-driven-disasters,National,Direct final rule,EPA,Climate-Reregulation-Tracker
BLM Finalizes Pared-Back Waste Reduction Rule for Public Land Leases,2024,USA,"<p>The Bureau of Land Management has published final rules designed to reduce the waste of natural gas from venting, flaring, and leaks during oil and gas production activities on Federal and Indian leases. In its final form, the rule is expected to have significantly smaller final benefits than were projected in BLM's 2022 proposed rulemaking.</p>",https://climate.law.columbia.edu/content/blm-finalizes-pared-back-waste-reduction-rule-public-land-leases,National,Final rule,BLM,Climate-Reregulation-Tracker
EPA  Publishes Rule Significantly Limiting Methane Emissions from Crude Oil and Natural Gas Facilities ,2024,USA,"<p>The U.S. Environmental Protection Agency has finalized multiple separate rulemaking processes to reduce air pollution from crude oil and natural gas facilities. This rule is projected to eliminate approximately 58 million short tons of methane emissions over the next 15 years, representing a 79 percent reduction in projected emissions from the sources covered by the final rule.</p>",https://climate.law.columbia.edu/content/epa-publishes-rule-significantly-limiting-methane-emissions-crude-oil-and-natural-gas,National,Final rule,EPA,Climate-Reregulation-Tracker
test table 5,,USA,<p>summary in here</p>,https://climate.law.columbia.edu/content/test-table-5,National,Advance Notice of Proposed Rulemaking,ACF,Climate-Reregulation-Tracker
test,2024,USA,False,https://climate.law.columbia.edu/content/test-2,National,,,Climate-Reregulation-Tracker
